name,sector,priority,website,email,city,source,validation_status,notes
Salasa,Tech (e-commerce fulfillment),1,https://www.salasa.co,info@salasa.co,Riyadh,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:generic
Ejada Systems,IT services,1,https://www.ejada.com/,info@ejada.com,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Marketing/Communications Manager | cv:generic
Al Moammar Information Systems (MIS),IT services (listed systems integrator),1,https://www.mis.com.sa/contact-us/,info@mis.com.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Marketing Manager | cv:generic
Naseej,IT / digital solutions,1,https://www.naseej.com/en/contact-us,info@naseej.com,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
HyperPay,Fintech (payments),1,https://www.hyperpay.com/,bd@hyperpay.com,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Herfy Food Services Co.,"F&B / QSR chain (350+ restaurants, bakery, meat production)",1,https://herfy.com/contact/,job@herfy.com,Riyadh,verified-email-workflow-3,MX_PENDING,Marketing Director / Head of Brand Marketing | cv:brand
Maestro Pizza (Daily Food Co.),F&B / QSR pizza chain,1,https://www.linkedin.com/company/daily-food-co,recruitment@dailyfoodsa.com,Riyadh,verified-email-workflow-3,MX_PENDING,Head of Marketing / Digital Marketing Manager | cv:brand
Shahia Food Ltd. (Dunkin' Donuts KSA franchisee),F&B / Coffee & donuts franchise operator,1,http://shahiainvest.com/careers.php,careers@dunkindonuts.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Marketing Manager – Dunkin' KSA | cv:brand
Arby's KSA (Shahia Food Ltd.),F&B / QSR franchise operator,1,http://shahiainvest.com/careers.php,careers@arbysksa.com,Riyadh,verified-email-workflow-3,MX_PENDING,Brand / Marketing Manager | cv:brand
Alamar Foods (Domino's Pizza MENAP),"F&B / QSR franchise operator (Domino's, Dunkin' Egypt-Morocco)",1,https://www.alamar.com/contact/,info@alamar.com,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing / Brand Manager | cv:brand
Sunbulah Group,"F&B / Food manufacturing group (frozen foods, pastry, honey)",1,https://www.sunbulahgroup.com/careers.html,info@sunbulahgroup.com,Jeddah,verified-email-workflow-3,MX_PENDING,Senior Brand Manager / Marketing Manager | cv:brand
Half Million Coffee,F&B / Saudi specialty coffee chain,1,https://www.halfm.sa/en-US/careers,customercare@halfm.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Head of Marketing / Brand Marketing | cv:brand
Diyafa Saudi Hospitality Company (catering),"F&B / Catering & foodservice (Hajj-Umrah catering, restaurants)",1,https://diyafa.com.sa/ar/contactus,info@diyafa.com.sa,Jeddah,verified-email-workflow-3,MX_PENDING,Marketing & Communications Manager | cv:brand
Tamimi Global Co. (TAFGA),"F&B / Industrial, hospital & aviation catering",1,https://www.tamimiglobal.com/,info@tamimiglobal.com,Al Khobar,verified-email-workflow-3,MX_PENDING,Marketing / Business Development Manager | cv:brand
Naqel Express,Logistics & Express Delivery,1,https://www.naqelexpress.com/en/sa/FAQ/,Saudi.jobs@naqel.com.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Four Winds Saudi Arabia (Logistics),Freight Forwarding & Logistics,1,https://www.fourwinds-ksa.com/careers/,career@fourwinds-ksa.com,Jeddah,verified-email-workflow-3,MX_PENDING,Marketing & Business Development Manager | cv:generic
Budget Saudi Arabia (United International Transportation Co.),Car Rental & Leasing,1,https://www.budgetsaudi.com/en/careers,jobs@budgetsaudi.com,Jeddah,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Aljomaih Automotive Company (General Motors distributor),Automotive Distribution,1,https://www.linkedin.com/posts/aljomaihautomotive_hiring-activity-7347591670110052352-rHvS,careers@aljomaihauto.com,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Namma Cargo Services,Freight Forwarding & Logistics,1,https://www.nammacargo.com/,namma@nammacargo.com,Al Khobar,verified-email-workflow-3,MX_PENDING,Marketing Manager | cv:generic
"Kia Aljabr (Aljabr Trading Co., Kia distributor)",Automotive Distribution,1,https://aljabr.com.sa/en/career.php,info@aljabr.com.sa,Dammam,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:generic
Petromin Corporation,Automotive Services & Lubricants,1,https://petromin.com/career/,info@petromin.com,Jeddah,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Al-Khaldi Logistics (Al-Khaldi Holding),Transport & Logistics,1,https://log.al-khaldi.com.sa/,info@al-khaldi.com.sa,Dhahran,verified-email-workflow-3,MX_PENDING,Marketing Manager | cv:generic
Attar Travel,Travel & Tourism,1,https://www.attartravel.com/contact,info@attartravel.com,Jeddah,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:generic
Fursan Travel & Tourism,Travel & Tourism,1,https://www.fursan.com.sa/,contactus@fursan.com.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Al Shallal Theme Park,Entertainment venue (theme park),1,https://alshallal.com.sa/en/career,careers@alshallal.com.sa,Jeddah,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
"Tarfeeh Fakieh (Fakieh Aquarium, Al Nawras, Sail Island)",Entertainment & leisure group,1,https://www.tarfeehfakieh.com/,info@tarfeehfakieh.com,Jeddah,verified-email-workflow-3,MX_PENDING,Head of Digital Marketing | cv:hospitality
Rawaf Mina for Hajj Services,Hajj & Umrah services,1,https://haj.rawafmina.sa/en/contactus,pmo@rawafmina.sa,Makkah,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:hospitality
MaqamUmrah (B2B Umrah hotel & tour operator),Umrah travel operator,1,https://maqamumrah.com/,info@maqamumrah.com,Madinah,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Discover Saudi DMC (Almosafer / Seera Group),Destination Management Company,1,https://discoversaudi.sa/en/contact-us,info@discoversaudi.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:hospitality
Husaak Adventures (The Outpost AlUla & Tanomah),Adventure tour operator,1,https://www.husaak.com/contact-us,saudi@husaak.com,AlUla,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
88 Destinations (El Makkan for Travel and Tours),Inbound tour operator / DMC,1,https://88destinations.com/,info@88destinations.com,Jeddah,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Saudi Arabia Tours,Tour operator,1,https://saudiarabiatours.net/,saudiarabiatours.net@gmail.com,Riyadh,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Easy Access AlUla (Al-Wassal Al-Mashal Commercial),Tour operator & transportation,1,https://toursalula.com/,booking@easyaccessllc.com,AlUla,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
PinkStone Travel Saudi,Tour operator / travel agency,1,https://pinkstonetravelsaudi.com/,info@pinkstonetravelsaudi.com,Riyadh,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Zahid Travel Group (Go Zahid inbound DMC),Travel agency / inbound DMC,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,gozahid@zahidtravel.com,Jeddah,verified-email-workflow-3,MX_PENDING,Senior Digital Marketing Manager | cv:hospitality
AlUla Guide,Tour operator,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,sales@alula-guide.com,AlUla,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Saudi Discovery (DMC Arabia network),Destination Management Company,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,inquiries@saudidiscovery.com,,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
EXO Travel Saudi Arabia,Destination Management Company,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,saudi@exotravel.com,,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Tetrapylon Saudi Arabia,Destination Management Company,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,saudi@tetrapylon.com,,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
AlFares International Tours,Tour operator / DMC,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,h.nawar@alfaristours.com,,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Athaar Arabia,Tour operator / DMC,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,imad.sulaiman@athaararabia.com,,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
UTA Saudi Arabia (Universal Travel Agency),Travel agency / DMC,1,https://www.experiencealula.com/en/plan-your-trip/alula-preferred-travel-trade-partners,mahmoud.salameh@uta.com.sa,,verified-email-workflow-3,MX_PENDING,Digital Marketing Manager | cv:hospitality
Tamimi ATS (Al-Tamimi Group),Industrial services / trading group,1,https://www.tamimiats.com/jobs,recruitment.ats@al-tamimi.com,Dammam,verified-email-workflow-3,MX_PENDING,Marketing & Communications Manager | cv:generic
GO Telecom (Etihad Atheeb Telecom),Telecom,1,https://www.go.com.sa/en/careers,al.alnajjar@go.com.sa,Riyadh,verified-email-workflow-3,MX_PENDING,Senior Marketing Manager | cv:brand
Abdulmohsen Al-Tamimi Group,Family conglomerate,1,https://tamimi.sa/careers.php,info@tamimi.sa,Dammam,verified-email-workflow-3,MX_PENDING,Marketing Manager | cv:generic
Alesayi Holding,Family conglomerate,1,https://alesayi.com/en/contact-us-en/,info@alesayi.com,Jeddah,verified-email-workflow-3,MX_PENDING,Group Marketing Manager | cv:generic
Al Muhaidib Group,Family conglomerate,1,https://almuhaidib.com/,info@almuhaidib.com,Dammam,verified-email-workflow-3,MX_PENDING,Group Marketing & Communications Manager | cv:generic
AlBawani Holding,Construction / diversified holding,1,https://albawani.com/careers/,info@albawani.net,Riyadh,verified-email-workflow-3,MX_PENDING,Marketing & Communications Manager | cv:generic
Xenel Industries,Industrial family conglomerate,1,https://www.xenel.com/,communications@xenel.com,Jeddah,verified-email-workflow-3,MX_PENDING,Corporate Communications & Marketing Manager | cv:generic
IKK Group (Isam Khairi Kabbani),Industrial / building materials group,1,https://ikkgroup.com/contact-us/,info@ikkgroup.com,Jeddah,verified-email-workflow-3,MX_PENDING,Marketing Manager | cv:generic
Alfozan Holding,Family holding,1,https://www.alfozan.com/,info@alfozan.com,Al Khobar,verified-email-workflow-3,MX_PENDING,Marketing Manager | cv:generic
Watania Steel,Industrial manufacturing,1,https://wataniasteel.com/career/,info@wataniasteel.com,,verified-email-workflow-3,MX_PENDING,Marketing Manager | cv:generic
Nesma & Partners,Construction / EPC (Nesma Holding),1,https://www.nesmapartners.com/en/contact-us,communications@nesmapartners.com,Al Khobar,verified-email-workflow-3,MX_PENDING,Marketing & Communications Manager | cv:generic
