name,sector,priority,website,email,city,source,validation_status,notes
Prezlab,Presentation & Creative Design Agency,1,https://prezlab.com/contact/,Careers@prezlab.com,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Digital Marketing / Account Director | cv:generic
WCM Agency,Marketing & Branding Agency,1,https://www.wcmagency.com/branding-agency-riyadh-dammam-saudi-arabia/,hello@wcmagency.com,Riyadh,verified-email-workflow-2,MX_PENDING,Senior Digital Marketing Manager | cv:generic
Digital World Advertising Agency,Advertising & Branding Agency,1,https://digitalworldagency.net/,info@digitalworldagency.net,Al Khobar,verified-email-workflow-2,MX_PENDING,Senior Marketing Manager | cv:generic
Data Wide,Digital Marketing Agency,1,https://www.data-wide.com/contact-us/,info@data-wide.com,Riyadh,verified-email-workflow-2,MX_PENDING,Head of Digital / Senior Marketing Manager | cv:generic
Braira Hotels & Resorts,Hospitality,1,https://brairahotels.com/contact/,info@brairahotels.com,Riyadh,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager / Head of Marketing | cv:hospitality
The Venue Jeddah Corniche,Hospitality,1,https://www.the-venue.com/career/,hr@the-venue.com,Jeddah,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager / Marketing & Communications | cv:hospitality
Habitat Hotel All Suites,Hospitality,1,https://booking.habitathotel.com.sa/en/jeddah/career.php,hrd@habitathotel.com.sa,Jeddah,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager / Head of Marketing | cv:hospitality
Maden Hotels,Hospitality,1,https://madenhotels.com/en/contact-us/,info@madenhotels.com,Madinah,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager / Head of Marketing | cv:hospitality
Ruve Hotel Jeddah,Hospitality,1,https://ruvejeddah.com/,rsvn@ruvejeddah.com,Jeddah,verified-email-workflow-2,MX_PENDING,Digital Marketing / Sales & Marketing Manager | cv:hospitality
Emaar Elite Hotels,Hospitality,1,https://www.emaarelite.com/,sales@emaarelite.com,Makkah,verified-email-workflow-2,MX_PENDING,Digital Marketing / Sales & Marketing Manager | cv:hospitality
Al Kiswah Towers Hotel,Hospitality,1,https://www.alkiswah.com/,Alkiswahdh@gmail.com,Makkah,verified-email-workflow-2,MX_PENDING,Digital Marketing / Marketing Manager | cv:hospitality
Retaj Hotels & Hospitality,Hospitality,1,https://retaj-hotels.com/careers/,info@retaj-hotels.com,Makkah,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager / Head of Marketing | cv:hospitality
Swiss International Hotels & Resorts,Hospitality,1,https://swissinternationalhotels.com/careers/,info@swissinternationalhotels.com,Riyadh,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager / Head of Marketing | cv:hospitality
Swiss Hospitality Company,Hospitality,1,https://swisshospitality.sa/,info@swisshospitality.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Digital Marketing / Marketing & Brand | cv:hospitality
Danah United Real Estate (Al Rashid Mall),Retail,1,https://www.alrashidmall.sa/careers,Hr@danah.com.sa,Al Khobar,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Al Othaim Malls (Abdullah Al Othaim Investment),Retail,1,https://othaimmalls.com/english/careers,info@othaimmalls.com,Riyadh,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager | cv:generic
Al Othaim Investment Company,Retail,1,https://www.alothaiminvestment.com/careers,info@alothaiminvestment.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Alandalus Property Company,Real Estate,1,https://www.alandalus.com.sa/contact-us/,mail@alandalus.com.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Head of Marketing | cv:generic
Cenomi Centers (Arabian Centres),Retail,1,https://centers.cenomi.com/sa-en/contact-us/,cenomi@cenomicenters.com,Riyadh,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager | cv:generic
Fitaihi Holding Group,Retail,1,http://www.fitaihi.com.sa/en/contact-us/,sh@fitaihi.com.sa,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Heraa Mall,Retail,1,https://www.heraa-mall.com/en/careers/,info@heraa-mall.com,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Saudi Real Estate Company (Al Akaria),Real Estate,1,https://www.al-akaria.com/en/contact/,info@al-akaria.com,Riyadh,verified-email-workflow-2,MX_PENDING,Head of Digital Marketing | cv:generic
Hamat Property Company (Panorama Mall),Real Estate,1,https://panorama-mall.com/contact/,crm@hamat.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
SEDCO Holding (SEDCO Development),Real Estate,1,https://sedco.com/en/contact-us/,info@sedco.com,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Jabal Omar Development Company,Real Estate,1,https://jabalomar.com.sa/contacts/,support@jabalomar.com.sa,Makkah,verified-email-workflow-2,MX_PENDING,Digital Marketing Manager | cv:generic
Makkah Construction & Development Company (MCDC),Real Estate,1,https://mcdc.com.sa/contact-us/?lang=en,info@mcdc.com.sa,Makkah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Dar Al Omran,Real Estate,1,https://www.dao-badran.com/contact/,dao-saudia@daralomran.com.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
SEDCO Capital,Real Estate,1,https://sedcocapital.com/contacts/offices/,info@sedcocapital.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:generic
Almana Group of Hospitals,Healthcare,1,https://www.almanahospital.com.sa/en/careers,career@almanahospital.com.sa,Al Khobar,verified-email-workflow-2,MX_PENDING,Head of Marketing / Digital Marketing Manager | cv:brand
Dr. Samir Abbas Hospital,Healthcare,1,https://dsah.sa/en/careers,careers@dsah.sa,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing & Digital Manager | cv:brand
Beech Hall School Riyadh,Education,1,https://beechhallschoolriyadh.com/community/careers/,hr@beechhallschoolriyadh.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing / Admissions & Communications Manager | cv:brand
GEMS American International School Riyadh (SEP-KSA),Education,1,https://gaisr.com/about-us/vacancies/,Recruitment@sep-ksa.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing & Communications Manager | cv:brand
Downe House Riyadh,Education,1,https://downehouseriyadh.com/careers/,careers@downehouseriyadh.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing & Admissions Manager | cv:brand
American International School Riyadh (AISR),Education,1,https://www.aisr.org/employment/apply,join_us@aisr.org,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing & Communications Manager | cv:brand
Dar Al Hekma University,Education,1,https://www.dah.edu.sa/en/careers/Pages/default.aspx,jobs@dah.edu.sa,Jeddah,verified-email-workflow-2,MX_PENDING,Head of Marketing / Digital Marketing Manager | cv:brand
Jeddah Knowledge International School (JKS),Education,1,https://www.jks.edu.sa/employment-opportunities/,jksinfo@jks.edu.sa,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing & Admissions Manager | cv:brand
Al Salama Hospital,Healthcare,1,https://alsalamahospital.com/en/career/,info@alsalamahospital.com,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
International Gulf Medical Clinics (IGMC),Healthcare,1,https://igmc.io/en/careers/,info@igmc.io,Madinah,verified-email-workflow-2,MX_PENDING,Marketing / Digital Marketing Manager | cv:brand
Eventana,Events & Experiential Agency,1,https://eventana.net/contact,info@eventana.net,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Shine Event Staffing,Events & Experiential Agency,1,https://shineeventstaffing.com/,hello@letsshineksa.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Relia (Al Quraishi Marketing),FMCG Distribution,1,https://www.relia-me.com/contact,careers@relia-me.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Blink Experience,Events & Experiential Agency,1,https://blinkexperience.com/contact/,info@blinkexperience.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Entourage Marketing & Events,Events & Experiential Agency,1,https://entourageintl.com/careers/,info@entourageintl.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Focal Point (FP Group),Events & Brand Activation Agency,1,https://focalpoint.group/,info@focalpoint.group,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Benchmark,Events & Experiential Agency,1,https://www.benchmarkksa.com/,info@benchmarkksa.com,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Halwani Bros,FMCG Food Manufacturing,1,https://www.halwani.com.sa/en/contact-us/,info@halwani.com.sa,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Etihad Golden Falcons,Events & Brand Activation Agency,1,https://etihad-gf.com/contact-us/,sales@etihad-gf.com,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
eDirect,Digital Marketing Agency,1,https://edirect.sa/contact-us/,info@edirect.sa,Riyadh,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Rafal Advertising,Advertising Agency,1,https://www.rafal-adv.com/contact/,info@rafal-adv.com,Jeddah,verified-email-workflow-2,MX_PENDING,Marketing Manager | cv:brand
Cross Arabia,FMCG Distribution,1,https://crossarabia.com/contact-us/,HR@crossarabia.com,Riyadh,verified-email-workflow-2,MX_PENDING,Trade Marketing Manager | cv:brand
