name,sector,priority,website,email,city,source,validation_status,notes
Andalusia Group (Hospitals & Clinics),Healthcare & Dental Group,1,https://anygulfjobs.com/job/andalusia-group-job-vacancies/,alw-jobs@andalusiagroup.net,Jeddah,sourcing-ksa4,MX_PENDING,Senior Marketing Specialist / Marketing Manager | cv:brand
United Pharmacy,Pharmacy Chain,1,https://thepharmadaily.com/job-detail/pharmacist-saudi,hr@unitedpharmacy.sa,Riyadh,sourcing-ksa4,MX_PENDING,Marketing Manager | cv:brand
Stars Smile Dental Clinics,Dental Clinics,1,https://www.saudijobs24.com/t137470-topic,Jobs@starssmile.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Marketing Manager | cv:brand
Enfield Royal Saudia (aesthetic clinic),Beauty & Aesthetic Clinic,1,https://www.enfieldroyalsaudia.com/contact-us/,info@enfieldroyalsaudia.com,Riyadh,sourcing-ksa4,MX_PENDING,Digital Marketing Manager | cv:brand
The First Clinic,Beauty & Dermatology Clinic,1,https://thefirstclinic.med.sa/,info@tfc.sa,Riyadh,sourcing-ksa4,MX_PENDING,Marketing Manager | cv:brand
Arabian Oud,Beauty & Fragrance Retail,1,https://us.arabianoud.com/en/careers/page-1537414279,recruitment@arabianoud.com,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager | cv:brand
Nutrition & Diet Center (NDC),Wellness & Nutrition,1,https://www.linkedin.com/company/diet-center,careers@dietcenter.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Marketing Manager (role advertised on their LinkedIn) | cv:brand
Fitness First KSA (Landmark Arabia),Gym & Fitness Chain,1,https://ksa.fitnessfirstme.com/ar/careers,FF.HR@fitnessfirst-me.com,Riyadh,sourcing-ksa4,MX_PENDING,Marketing Manager | cv:brand
"Whites (Global Health Care Co. / GHC, also Kunooz Pharmacies)","Beauty, Wellness & Pharmacy Retail",1,https://ghc.com.sa/careers/,jobs@ghc.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager | cv:brand
Jamjoom Pharma,Pharmaceuticals (derma & eye care),1,https://www.jamjoompharma.com/careers/,info@jamjoompharma.com,Jeddah,sourcing-ksa4,MX_PENDING,Senior Marketing Manager | cv:brand
Body Masters,Gym & Fitness Chain (42+ branches),1,https://www.bodymasters.com.sa/en/contact-us,corporate@bodymasters.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Marketing Manager | cv:brand
BEC Arabia,Construction / Contracting,1,https://www.becarabia.com/careers,info@becarabia.com,Riyadh,sourcing-ksa4,MX_PENDING,Marketing & Communications Manager | cv:generic
RTCC (Al Rashid Trading & Contracting Co.),Construction / Contracting,1,https://www.rtcc.com.sa/career/,info@rtcc.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Marketing & Communications Manager | cv:generic
Azad Properties,Real Estate Development,1,https://azad.com.sa/en/careers,info@azad.com.sa,Jeddah,sourcing-ksa4,MX_PENDING,Head of Marketing | cv:generic
Jabal Omar Development Company (JODC),Real Estate Development,1,https://www.jabalomar.com.sa/en/careers,info@jodc.com.sa,Jeddah,sourcing-ksa4,MX_PENDING,Senior Marketing Manager | cv:generic
Rafal Real Estate Development,Real Estate Development,1,https://rafal.com.sa/en/contact-us/,info@rafal.com.sa,Riyadh,sourcing-ksa4,MX_PENDING,Head of Marketing | cv:generic
Makkah Construction & Development Co. (MCDC),Real Estate Development,1,https://www.mcdc.com.sa/en/,info@mcdc.com.sa,Makkah,sourcing-ksa4,MX_PENDING,Senior Marketing Manager | cv:generic
Jenan Real Estate Company,Real Estate Development,1,https://jenan.sa/en/careers,info@jenan.com.sa,Eastern Province (Dammam/Khobar),sourcing-ksa4,MX_PENDING,Head of Marketing | cv:generic
IFAS (Integrated Facility & Asset Services),Facility Management,1,https://ifas-ksa.com/careers/,info@ifas-ksa.com,Riyadh,sourcing-ksa4,MX_PENDING,Marketing & Communications Manager | cv:generic
Zahran Holding (Zahran Operation & Maintenance),Facility Management / O&M,1,https://www.zahranholding.com/en/careers/,jobs@zahrang.com,Riyadh,sourcing-ksa4,MX_PENDING,Senior Marketing Manager | cv:generic
Muheel Services,Facility Management,1,https://www.muheel.com/careers/,recruitment@muheel.com,Riyadh,sourcing-ksa4,MX_PENDING,Marketing & Communications Manager | cv:generic
Al Hajry Overseas,Facility Management,1,https://alhajry-overseas.com.sa/,info@alhajry-overseas.com.sa,Al Khobar,sourcing-ksa4,MX_PENDING,Marketing & Communications Manager | cv:generic
SIYANCO (Saudi Maintenance Company),Facility Management / O&M,1,https://siyanco.com/contact-us/,info@siyanco.com,Riyadh,sourcing-ksa4,MX_PENDING,Marketing & Communications Manager | cv:generic
Rize (Al-Alou Financial Company),PropTech,1,https://www.rize.sa/en,support@rize.sa,Riyadh,sourcing-ksa4,MX_PENDING,Head of Growth Marketing | cv:generic
Darent,PropTech,1,https://darent.com/,info@darent.com,Riyadh,sourcing-ksa4,MX_PENDING,Head of Growth Marketing | cv:generic
